PartNumber,Usage,Name,Value,Sequence,Delete,GroupName
P000225487,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000225628,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000226010,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000226227,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000226229,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000226775,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000007188,2,Brand,Columbia Sportswear,0,0,
P000017046,2,Brand,Lee,0,0,
P000039567,2,Brand,Columbia Sportswear,0,0,
P000043358,2,Brand,Genuine Wrangler,0,0,
P000121246,2,Brand,Alia,0,0,
P000144685,2,Brand,Genuine Wrangler,0,0,
P000145549,2,Brand,Genuine Wrangler,0,0,
P000149356,2,Brand,Coral Bay,0,0,
P000150704,2,Brand,Columbia Sportswear,0,0,
P000151742,2,Brand,Reel Legends,0,0,
P000154461,2,Brand,Reel Legends,0,0,
P000155545,2,Brand,Columbia Sportswear,0,0,
P000158138,2,Brand,Reel Legends,0,0,
P000158146,2,Brand,Reel Legends,0,0,
