GroupIdentifier,ParentGroupIdentifier,TopGroup,Sequence,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Field1,Published,Delete
52-142-557,52-142-0,false,0,"Boxed Accessories","Boxed Accessories",,,,,1,0
1-2-560,1-2-0,false,0,"Casual Long Sleeve Shirts","Casual Long Sleeve Shirts",,,,,1,0
1-31-562,1-31-0,false,0,"Mens Fragrances","Mens Fragrances",,,,,1,0
52-132-563,52-132-0,false,0,"Leisure & Kaftan","Leisure & Kaftan",,,,,1,0
1-2-569,1-2-0,false,0,"Socks","Mens Socks",,,,,1,0
158-159-572,158-159-0,false,0,"Panties & Underwear","Panties & Underwear",,,,,1,0
52-149-574,52-149-0,false,0,"Handbag Holders","Handbag Holders",,,,,1,0
52-138-575,52-138-0,false,0,"Social Sets","Social Sets",,,,,1,0
52-71-576,52-71-0,false,100,"Petite Short Sleeve Tops","Petite Short Sleeve Tops",,,,,1,0
233-234-578,233-234-0,false,0,"Mugs","Mugs",,,,,1,0
52-138-579,52-138-0,false,0,"Wear to Work Dresses","Wear to Work Dresses",,,,,1,0
52-142-581,52-142-0,false,0,"Clip Earrings","Clip Earrings",,,,,1,0
52-132-584,52-132-0,false,0,"Plus Size Sleepwear","Plus Size Sleepwear",,,,,1,0
233-260-587,233-260-0,false,0,"Beach Towels","Beach Towels",,,,,1,0
158-591-0,158-0-0,false,10,"Girls 4-6X","Girls 4-6X",,,,,1,0
158-591-592,158-591-0,false,0,"Tees & Tops","4-6X Tees & Tops",,,,,1,0
158-591-593,158-591-0,false,0,"Bottoms","Girls 4-6X Bottoms",,,,,1,0
158-591-594,158-591-0,false,0,"Sets","Girls 4-6X Sets",,,,,1,0
158-591-595,158-591-0,false,0,"Dresses","4-6X Dresses",,,,,1,0
158-591-597,158-591-0,false,0,"Hats & Belts","Girls Hats & Belts",,,,,1,0
158-591-598,158-591-0,false,0,"Outerwear & Fleece","Girls 4-6X Outerwear & Fleece",,,,,1,0
158-591-599,158-591-0,false,0,"Sleepwear","Girls 4-6x Sleepwear",,,,,1,0
158-600-0,158-0-0,false,19,"Boys 4-7X","Boys 4-7X",,,,,1,0
158-600-602,158-600-0,false,0,"Shorts","Boys 4-7X Shorts",,,,,1,0
158-600-603,158-600-0,false,0,"Sweaters & Outerwear","Boys 4-7X Sweaters & Outerwear",,,,,1,0
158-600-604,158-600-0,false,0,"Polos","Boys 4-7X Polos",,,,,1,0
158-600-605,158-600-0,false,0,"Sets","Boys 4-7X Sets",,,,,1,0
158-600-606,158-600-0,false,0,"Jeans & Pants","Boys 4-7X Jeans & Pants",,,,,1,0
